Date,RevenueLKR,IsSeason,IsWeekend,Year,Month
10/3/2023,53900,1,0,2023,10
10/4/2023,28050,1,0,2023,10
10/5/2023,19800,1,0,2023,10
10/6/2023,57200,1,0,2023,10
10/7/2023,55550,1,1,2023,10
10/8/2023,69850,1,1,2023,10
10/10/2023,174350,1,0,2023,10
10/11/2023,41250,1,0,2023,10
10/12/2023,98450,1,0,2023,10
10/13/2023,31350,1,0,2023,10
10/14/2023,73150,1,1,2023,10
10/15/2023,39600,1,1,2023,10
10/16/2023,37400,1,0,2023,10
10/17/2023,13200,1,0,2023,10
10/18/2023,64350,1,0,2023,10
10/19/2023,25300,1,0,2023,10
10/20/2023,48950,1,0,2023,10
10/21/2023,74800,1,1,2023,10
10/22/2023,33000,1,1,2023,10
10/23/2023,76450,1,0,2023,10
10/24/2023,82500,1,0,2023,10
10/25/2023,35750,1,0,2023,10
10/26/2023,77550,1,0,2023,10
10/27/2023,25850,1,0,2023,10
10/28/2023,42900,1,1,2023,10
10/29/2023,75900,1,1,2023,10
10/30/2023,48950,1,0,2023,10
10/31/2023,70950,1,0,2023,10
11/1/2023,50050,1,0,2023,11
11/2/2023,63800,1,0,2023,11
11/3/2023,17600,1,0,2023,11
11/4/2023,44000,1,1,2023,11
11/5/2023,86350,1,1,2023,11
11/6/2023,58850,1,0,2023,11
11/7/2023,79200,1,0,2023,11
11/8/2023,54450,1,0,2023,11
11/9/2023,22550,1,0,2023,11
11/10/2023,25850,1,0,2023,11
11/11/2023,51150,1,1,2023,11
11/12/2023,40150,1,1,2023,11
11/13/2023,40150,1,0,2023,11
11/14/2023,29700,1,0,2023,11
11/15/2023,67100,1,0,2023,11
11/16/2023,39600,1,0,2023,11
11/17/2023,40700,1,0,2023,11
11/18/2023,30250,1,1,2023,11
11/19/2023,67100,1,1,2023,11
11/20/2023,26400,1,0,2023,11
11/21/2023,104500,1,0,2023,11
11/22/2023,35750,1,0,2023,11
11/23/2023,72600,1,0,2023,11
11/24/2023,69850,1,0,2023,11
11/25/2023,28050,1,1,2023,11
11/26/2023,112200,1,1,2023,11
11/27/2023,42350,1,0,2023,11
11/28/2023,27500,1,0,2023,11
11/29/2023,59950,1,0,2023,11
11/30/2023,34100,1,0,2023,11
12/1/2023,40150,1,0,2023,12
12/2/2023,31350,1,1,2023,12
12/3/2023,72050,1,1,2023,12
12/4/2023,22000,1,0,2023,12
12/5/2023,34100,1,0,2023,12
12/6/2023,58300,1,0,2023,12
12/7/2023,81400,1,0,2023,12
12/8/2023,62700,1,0,2023,12
12/9/2023,33000,1,1,2023,12
12/10/2023,76450,1,1,2023,12
12/11/2023,77000,1,0,2023,12
12/12/2023,1650,1,0,2023,12
12/13/2023,49500,1,0,2023,12
12/14/2023,40700,1,0,2023,12
12/15/2023,78100,1,0,2023,12
12/16/2023,70950,1,1,2023,12
12/17/2023,28600,1,1,2023,12
12/18/2023,63250,1,0,2023,12
12/19/2023,40150,1,0,2023,12
12/20/2023,81950,1,0,2023,12
12/21/2023,37400,1,0,2023,12
12/22/2023,99550,1,0,2023,12
12/23/2023,66000,1,1,2023,12
12/24/2023,62700,1,1,2023,12
12/25/2023,37950,1,0,2023,12
12/26/2023,29700,1,0,2023,12
12/27/2023,64900,1,0,2023,12
12/28/2023,19250,1,0,2023,12
12/29/2023,44550,1,0,2023,12
12/30/2023,53350,1,1,2023,12
12/31/2023,35750,1,1,2023,12
1/1/2024,51150,1,0,2024,1
1/2/2024,72050,1,0,2024,1
1/3/2024,37950,1,0,2024,1
1/4/2024,3300,1,0,2024,1
1/5/2024,4950,1,0,2024,1
1/6/2024,50600,1,1,2024,1
1/7/2024,65450,1,1,2024,1
1/8/2024,57750,1,0,2024,1
1/9/2024,48950,1,0,2024,1
1/10/2024,47850,1,0,2024,1
1/11/2024,65450,1,0,2024,1
1/12/2024,70400,1,0,2024,1
1/13/2024,37400,1,1,2024,1
1/14/2024,99000,1,1,2024,1
1/15/2024,20900,1,0,2024,1
1/16/2024,89100,1,0,2024,1
1/17/2024,9900,1,0,2024,1
1/18/2024,67650,1,0,2024,1
1/19/2024,112750,1,0,2024,1
1/20/2024,50600,1,1,2024,1
1/21/2024,69300,1,1,2024,1
1/22/2024,51700,1,0,2024,1
1/23/2024,38500,1,0,2024,1
1/24/2024,14850,1,0,2024,1
1/25/2024,13200,1,0,2024,1
1/26/2024,78100,1,0,2024,1
1/27/2024,75350,1,1,2024,1
1/28/2024,18700,1,1,2024,1
1/29/2024,41250,1,0,2024,1
1/30/2024,67100,1,0,2024,1
1/31/2024,46200,1,0,2024,1
2/1/2024,34650,1,0,2024,2
2/2/2024,67100,1,0,2024,2
2/3/2024,23650,1,1,2024,2
2/4/2024,90750,1,1,2024,2
2/5/2024,40700,1,0,2024,2
2/6/2024,17050,1,0,2024,2
2/7/2024,37950,1,0,2024,2
2/8/2024,67650,1,0,2024,2
2/9/2024,9900,1,0,2024,2
2/10/2024,55000,1,1,2024,2
2/11/2024,78100,1,1,2024,2
2/12/2024,42350,1,0,2024,2
2/13/2024,57200,1,0,2024,2
2/14/2024,25850,1,0,2024,2
2/15/2024,3300,1,0,2024,2
2/16/2024,73700,1,0,2024,2
2/17/2024,55000,1,1,2024,2
2/18/2024,68200,1,1,2024,2
2/19/2024,108350,1,0,2024,2
2/20/2024,45100,1,0,2024,2
2/21/2024,70400,1,0,2024,2
2/22/2024,3300,1,0,2024,2
2/23/2024,66550,1,0,2024,2
2/24/2024,53900,1,1,2024,2
2/25/2024,67100,1,1,2024,2
2/26/2024,56650,1,0,2024,2
2/27/2024,1650,1,0,2024,2
2/28/2024,31350,1,0,2024,2
2/29/2024,37400,1,0,2024,2
3/1/2024,61600,1,0,2024,3
3/2/2024,62150,1,1,2024,3
3/3/2024,37950,1,1,2024,3
3/4/2024,44550,1,0,2024,3
3/5/2024,27500,1,0,2024,3
3/6/2024,31350,1,0,2024,3
3/7/2024,28050,1,0,2024,3
3/8/2024,88000,1,0,2024,3
3/9/2024,37400,1,1,2024,3
3/10/2024,96250,1,1,2024,3
3/11/2024,47850,1,0,2024,3
3/12/2024,100100,1,0,2024,3
3/13/2024,22550,1,0,2024,3
3/14/2024,52250,1,0,2024,3
3/15/2024,47300,1,0,2024,3
3/16/2024,18150,1,1,2024,3
3/17/2024,40700,1,1,2024,3
3/18/2024,51700,1,0,2024,3
3/19/2024,29150,1,0,2024,3
3/20/2024,24200,1,0,2024,3
3/21/2024,86350,1,0,2024,3
3/22/2024,44550,1,0,2024,3
3/23/2024,45100,1,1,2024,3
3/24/2024,61050,1,1,2024,3
3/25/2024,45650,1,0,2024,3
3/26/2024,86900,1,0,2024,3
3/27/2024,28050,1,0,2024,3
3/28/2024,50050,1,0,2024,3
3/29/2024,73700,1,0,2024,3
3/30/2024,92400,1,1,2024,3
3/31/2024,111650,1,1,2024,3
4/2/2024,1350,0,0,2024,4
4/3/2024,6750,0,0,2024,4
4/4/2024,2700,0,0,2024,4
4/5/2024,4950,0,0,2024,4
4/6/2024,9450,0,1,2024,4
4/7/2024,5400,0,1,2024,4
4/9/2024,10800,0,0,2024,4
4/10/2024,15300,0,0,2024,4
4/11/2024,10350,0,0,2024,4
4/12/2024,4950,0,0,2024,4
4/13/2024,25650,0,1,2024,4
4/14/2024,4050,0,1,2024,4
4/15/2024,10800,0,0,2024,4
4/16/2024,10350,0,0,2024,4
4/17/2024,45900,0,0,2024,4
4/18/2024,12600,0,0,2024,4
4/19/2024,22500,0,0,2024,4
4/20/2024,6750,0,1,2024,4
4/21/2024,18900,0,1,2024,4
4/22/2024,6300,0,0,2024,4
4/23/2024,4050,0,0,2024,4
4/24/2024,2700,0,0,2024,4
4/25/2024,7650,0,0,2024,4
4/26/2024,28350,0,0,2024,4
4/27/2024,20250,0,1,2024,4
4/28/2024,23850,0,1,2024,4
4/29/2024,10350,0,0,2024,4
4/30/2024,12150,0,0,2024,4
5/1/2024,22050,0,0,2024,5
5/3/2024,18000,0,0,2024,5
5/4/2024,8100,0,1,2024,5
5/5/2024,32850,0,1,2024,5
5/6/2024,36450,0,0,2024,5
5/8/2024,28350,0,0,2024,5
5/9/2024,11700,0,0,2024,5
5/11/2024,14400,0,1,2024,5
5/12/2024,2700,0,1,2024,5
5/14/2024,4050,0,0,2024,5
5/15/2024,12150,0,0,2024,5
5/16/2024,6300,0,0,2024,5
5/17/2024,6750,0,0,2024,5
5/18/2024,5400,0,1,2024,5
5/19/2024,7650,0,1,2024,5
5/20/2024,11250,0,0,2024,5
5/21/2024,6750,0,0,2024,5
5/22/2024,6750,0,0,2024,5
5/23/2024,13050,0,0,2024,5
5/25/2024,14850,0,1,2024,5
5/26/2024,18450,0,1,2024,5
5/27/2024,9900,0,0,2024,5
5/28/2024,5400,0,0,2024,5
5/29/2024,12600,0,0,2024,5
5/30/2024,2700,0,0,2024,5
5/31/2024,20250,0,0,2024,5
6/1/2024,22950,0,1,2024,6
6/3/2024,15300,0,0,2024,6
6/4/2024,22950,0,0,2024,6
6/5/2024,4050,0,0,2024,6
6/6/2024,2700,0,0,2024,6
6/7/2024,4950,0,0,2024,6
6/8/2024,18000,0,1,2024,6
6/9/2024,11700,0,1,2024,6
6/12/2024,2700,0,0,2024,6
6/13/2024,9900,0,0,2024,6
6/14/2024,1350,0,0,2024,6
6/15/2024,10350,0,1,2024,6
6/16/2024,4950,0,1,2024,6
6/17/2024,20700,0,0,2024,6
6/18/2024,11700,0,0,2024,6
6/19/2024,18000,0,0,2024,6
6/20/2024,15300,0,0,2024,6
6/21/2024,18000,0,0,2024,6
6/22/2024,5400,0,1,2024,6
6/23/2024,8100,0,1,2024,6
6/24/2024,8100,0,0,2024,6
6/25/2024,5400,0,0,2024,6
6/26/2024,21600,0,0,2024,6
6/27/2024,2700,0,0,2024,6
6/28/2024,9450,0,0,2024,6
6/29/2024,6750,0,1,2024,6
6/30/2024,14850,0,1,2024,6
7/1/2024,17550,0,0,2024,7
7/2/2024,36000,0,0,2024,7
7/3/2024,6750,0,0,2024,7
7/4/2024,27000,0,0,2024,7
7/5/2024,14850,0,0,2024,7
7/6/2024,27900,0,1,2024,7
7/7/2024,15300,0,1,2024,7
7/8/2024,5400,0,0,2024,7
7/9/2024,5400,0,0,2024,7
7/10/2024,9450,0,0,2024,7
7/11/2024,9900,0,0,2024,7
7/12/2024,15300,0,0,2024,7
7/13/2024,19350,0,1,2024,7
7/14/2024,18000,0,1,2024,7
7/15/2024,2700,0,0,2024,7
7/16/2024,4050,0,0,2024,7
7/17/2024,4050,0,0,2024,7
7/19/2024,9450,0,0,2024,7
7/20/2024,9900,0,1,2024,7
7/21/2024,27450,0,1,2024,7
7/22/2024,12600,0,0,2024,7
7/23/2024,7650,0,0,2024,7
7/24/2024,5400,0,0,2024,7
7/25/2024,2700,0,0,2024,7
7/26/2024,13050,0,0,2024,7
7/27/2024,6750,0,1,2024,7
7/28/2024,13500,0,1,2024,7
7/29/2024,9900,0,0,2024,7
7/30/2024,17550,0,0,2024,7
7/31/2024,12600,0,0,2024,7
8/1/2024,9000,0,0,2024,8
8/2/2024,13950,0,0,2024,8
8/3/2024,9000,0,1,2024,8
8/4/2024,8100,0,1,2024,8
8/5/2024,15300,0,0,2024,8
8/7/2024,2700,0,0,2024,8
8/8/2024,23850,0,0,2024,8
8/9/2024,45900,0,0,2024,8
8/10/2024,6750,0,1,2024,8
8/11/2024,21600,0,1,2024,8
8/12/2024,1350,0,0,2024,8
8/13/2024,10800,0,0,2024,8
8/14/2024,20250,0,0,2024,8
8/15/2024,1350,0,0,2024,8
8/16/2024,29250,0,0,2024,8
8/17/2024,26550,0,1,2024,8
8/18/2024,20700,0,1,2024,8
8/19/2024,4050,0,0,2024,8
8/20/2024,15300,0,0,2024,8
8/21/2024,7650,0,0,2024,8
8/22/2024,18000,0,0,2024,8
8/23/2024,12600,0,0,2024,8
8/24/2024,11250,0,1,2024,8
8/25/2024,11700,0,1,2024,8
8/26/2024,9900,0,0,2024,8
8/27/2024,15300,0,0,2024,8
8/28/2024,29700,0,0,2024,8
8/29/2024,11250,0,0,2024,8
8/30/2024,13050,0,0,2024,8
8/31/2024,1350,0,1,2024,8
9/1/2024,11700,0,1,2024,9
9/2/2024,16200,0,0,2024,9
9/3/2024,10800,0,0,2024,9
9/4/2024,4050,0,0,2024,9
9/5/2024,15300,0,0,2024,9
9/6/2024,8100,0,0,2024,9
9/8/2024,5400,0,1,2024,9
9/9/2024,14400,0,0,2024,9
9/10/2024,11250,0,0,2024,9
9/11/2024,13950,0,0,2024,9
9/12/2024,8100,0,0,2024,9
9/13/2024,10350,0,0,2024,9
9/14/2024,11700,0,1,2024,9
9/15/2024,18000,0,1,2024,9
9/16/2024,2700,0,0,2024,9
9/17/2024,10800,0,0,2024,9
9/18/2024,2700,0,0,2024,9
9/19/2024,7650,0,0,2024,9
9/20/2024,11700,0,0,2024,9
9/21/2024,7650,0,1,2024,9
9/22/2024,13950,0,1,2024,9
9/23/2024,5400,0,0,2024,9
9/24/2024,15300,0,0,2024,9
9/25/2024,13050,0,0,2024,9
9/26/2024,12600,0,0,2024,9
9/27/2024,4050,0,0,2024,9
9/28/2024,16650,0,1,2024,9
9/29/2024,14850,0,1,2024,9
9/30/2024,14400,0,0,2024,9
10/1/2024,91300,1,0,2024,10
10/2/2024,61050,1,0,2024,10
10/3/2024,22550,1,0,2024,10
10/4/2024,52800,1,0,2024,10
10/5/2024,87450,1,1,2024,10
10/6/2024,73150,1,1,2024,10
10/7/2024,46200,1,0,2024,10
10/8/2024,31350,1,0,2024,10
10/9/2024,56100,1,0,2024,10
10/10/2024,86900,1,0,2024,10
10/11/2024,29700,1,0,2024,10
10/12/2024,76450,1,1,2024,10
10/13/2024,87450,1,1,2024,10
10/14/2024,28050,1,0,2024,10
10/15/2024,42350,1,0,2024,10
10/16/2024,48950,1,0,2024,10
10/17/2024,113300,1,0,2024,10
10/18/2024,71500,1,0,2024,10
10/19/2024,50600,1,1,2024,10
10/20/2024,51150,1,1,2024,10
10/21/2024,61050,1,0,2024,10
10/22/2024,44550,1,0,2024,10
10/23/2024,82500,1,0,2024,10
10/24/2024,111100,1,0,2024,10
10/25/2024,69300,1,0,2024,10
10/26/2024,69300,1,1,2024,10
10/27/2024,55000,1,1,2024,10
10/28/2024,33550,1,0,2024,10
10/29/2024,88550,1,0,2024,10
10/30/2024,77550,1,0,2024,10
10/31/2024,6050,1,0,2024,10
11/1/2024,14300,1,0,2024,11
11/2/2024,71500,1,1,2024,11
11/3/2024,68750,1,1,2024,11
11/4/2024,72600,1,0,2024,11
11/5/2024,16500,1,0,2024,11
11/6/2024,11550,1,0,2024,11
11/7/2024,68750,1,0,2024,11
11/8/2024,34650,1,0,2024,11
11/9/2024,74800,1,1,2024,11
11/10/2024,91300,1,1,2024,11
11/11/2024,36300,1,0,2024,11
11/12/2024,39050,1,0,2024,11
11/13/2024,85250,1,0,2024,11
11/14/2024,50600,1,0,2024,11
11/15/2024,70950,1,0,2024,11
11/16/2024,46750,1,1,2024,11
11/17/2024,38500,1,1,2024,11
11/18/2024,77000,1,0,2024,11
11/19/2024,37400,1,0,2024,11
11/20/2024,39050,1,0,2024,11
11/21/2024,57750,1,0,2024,11
11/22/2024,21450,1,0,2024,11
11/23/2024,26400,1,1,2024,11
11/24/2024,75900,1,1,2024,11
11/25/2024,60500,1,0,2024,11
11/26/2024,59400,1,0,2024,11
11/27/2024,36300,1,0,2024,11
11/28/2024,62150,1,0,2024,11
11/29/2024,31350,1,0,2024,11
11/30/2024,49500,1,1,2024,11
12/1/2024,52800,1,1,2024,12
12/2/2024,19250,1,0,2024,12
12/3/2024,29700,1,0,2024,12
12/4/2024,35200,1,0,2024,12
12/5/2024,40700,1,0,2024,12
12/6/2024,56100,1,0,2024,12
12/7/2024,110000,1,1,2024,12
12/8/2024,72600,1,1,2024,12
12/9/2024,19800,1,0,2024,12
12/10/2024,35750,1,0,2024,12
12/11/2024,74250,1,0,2024,12
12/12/2024,14850,1,0,2024,12
12/13/2024,51700,1,0,2024,12
12/14/2024,54450,1,1,2024,12
12/15/2024,59400,1,1,2024,12
12/16/2024,98450,1,0,2024,12
12/17/2024,57200,1,0,2024,12
12/19/2024,46750,1,0,2024,12
12/20/2024,28600,1,0,2024,12
12/21/2024,39600,1,1,2024,12
12/22/2024,40150,1,1,2024,12
12/23/2024,37400,1,0,2024,12
12/24/2024,84700,1,0,2024,12
12/25/2024,8250,1,0,2024,12
12/26/2024,36300,1,0,2024,12
12/27/2024,39600,1,0,2024,12
12/28/2024,68200,1,1,2024,12
12/29/2024,41800,1,1,2024,12
12/30/2024,48950,1,0,2024,12
12/31/2024,45650,1,0,2024,12
1/1/2025,9350,1,0,2025,1
1/2/2025,13200,1,0,2025,1
1/3/2025,54450,1,0,2025,1
1/4/2025,34650,1,1,2025,1
1/5/2025,36850,1,1,2025,1
1/6/2025,77550,1,0,2025,1
1/7/2025,38500,1,0,2025,1
1/8/2025,74800,1,0,2025,1
1/9/2025,70950,1,0,2025,1
1/10/2025,76450,1,0,2025,1
1/11/2025,29150,1,1,2025,1
1/12/2025,79200,1,1,2025,1
1/13/2025,69300,1,0,2025,1
1/14/2025,24750,1,0,2025,1
1/15/2025,20350,1,0,2025,1
1/16/2025,35200,1,0,2025,1
1/17/2025,17600,1,0,2025,1
1/18/2025,44000,1,1,2025,1
1/19/2025,23100,1,1,2025,1
1/20/2025,11550,1,0,2025,1
1/21/2025,39600,1,0,2025,1
1/22/2025,25850,1,0,2025,1
1/23/2025,57750,1,0,2025,1
1/24/2025,42900,1,0,2025,1
